"","id","name","zipCode","districtCode","districtName","stationType","st1","st2","st3","st4","lat","lon"
"1",448,"DR. ANDRADE - ARCOS DE BELÉN",NA,NA,NA,"BIKE,TPV",448,448,448,448,19.426611,-99.14447
"2",443,"BRUNO TRAVEN-GOLONDRINAS","3340","1","Ampliación Granada","BIKE",432,442,444,432,19.359655,-99.162025
"3",416,"RECREO-PARROQUÍA","3104","1","Ampliación Granada","BIKE",390,391,415,390,19.371308,-99.177607
"4",437,"MORAS-COMUNAL","3240","1","Ampliación Granada","BIKE",423,436,438,423,19.36480833,-99.17602222
"5",438,"ADOLFO PRIETO-JOSÉ MARÍA OLLOQUI","3240","1","Ampliación Granada","BIKE",434,435,437,434,19.36479722,-99.17458333
"6",440,"REAL DE MAYORAZGO-PUENTE XOCO","3330","1","Ampliación Granada","BIKE",433,439,441,433,19.36065,-99.168669
"7",347,"PENNSYLVANIA-MAXIMINO AVILA CAMACHO","3710","1","Ampliación Granada","BIKE,TPV",334,346,348,334,19.384378,-99.176097
"8",350,"JOSE CLEMENTE OROZCO-CORREGGIO","3710","1","Ampliación Granada","BIKE",349,352,349,352,19.384062,-99.181482
"9",356,"MATIAS ROMERO -ADOLFO PRIETO","3100","1","Ampliación Granada","BIKE",355,357,372,355,19.381292,-99.170171
"10",361,"PORFIRIO DÍAZ-AV. INSURGENTES","3100","1","Ampliación Granada","BIKE",354,369,370,354,19.3804457,-99.1762233
"11",368,"PORFIRIO DÍAZ-CINCINATTI ","3740","1","Ampliación Granada","BIKE",366,367,369,366,19.379246,-99.179344
"12",369,"PORFIRIO DÍAZ-AV. INSURGENTES","3740","1","Ampliación Granada","BIKE,TPV",367,368,367,368,19.379884,-99.177478
"13",372,"DR. ROBERTO GAYOL-TLACOQUEMECATL","3104","1","Ampliación Granada","BIKE,TPV",373,378,379,373,19.37797,-99.170289
"14",379,"DR. ROBERTO GAYOL-MIGUEL LAURENT","3104","1","Ampliación Granada","BIKE",378,380,395,378,19.375751,-99.17084
"15",402,"UXMAL-MUNICIPIO LIBRE","3310","1","Ampliación Granada","BIKE,TPV",401,403,405,401,19.3709452,-99.1587223
"16",3,"REFORMA-INSURGENTES","06500","1","Ampliación Granada","BIKE,TPV",8,20,86,8,19.431655,-99.158668
"17",12,"RIO LERMA-VILLALONGIN","06500","1","Ampliación Granada","BIKE",11,19,20,85,19.432313,-99.161597
"18",13,"REFORMA-RIO RODANO","06500","1","Ampliación Granada","BIKE,TPV",7,14,21,7,19.423778,-99.175558
"19",16,"REFORMA-RIO GUADALQUIVIR","06500","1","Ampliación Granada","BIKE",9,23,24,9,19.42653,-99.169164
"20",17,"REFORMA-RIO TIBER","06500","1","Ampliación Granada","BIKE,TPV",16,18,25,16,19.427501,-99.167125
"21",19,"REFORMA-RIO NEVA","06500","1","Ampliación Granada","BIKE,TPV",12,20,27,12,19.43001,-99.161675
"22",21,"REFORMA-LIEJA","06500","1","Ampliación Granada","BIKE,TPV",7,13,14,28,19.423317,-99.175124
"23",36,"PUEBLA-VERACRUZ","06140","1","Ampliación Granada","BIKE,TPV",37,41,44,37,19.419725,-99.175778
"24",47,"GLORIETA CIBELES-OAXACA","06700","1","Ampliación Granada","BIKE,TPV",42,51,56,42,19.419515,-99.166299
"25",41,"REFORMA-AV. DE LA REPUBLICA","06700","1","Ampliación Granada","BIKE,TPV",29,29,29,29,19.435637,-99.150137
"26",55,"5 DE MAYO-BOLIVAR","06700","1","Ampliación Granada","BIKE,TPV",65,87,65,87,19.434356,-99.138064
"27",57,"CUERNAVACA-JUAN ESCUTIA","06140","1","Ampliación Granada","BIKE",48,49,50,62,19.414903,-99.17495
"28",66,"MAZATLAN-FRANCISCO MARQUEZ","06170","1","Ampliación Granada","BIKE",65,72,65,72,19.411402,-99.178666
"29",74,"NUEVO LEON-OZULAMA","06100","1","Ampliación Granada","BIKE",63,68,71,63,19.410343,-99.172831
"30",63,"NUEVO LEON- LAREDO","06100","1","Ampliación Granada","BIKE,TPV",70,76,77,70,19.413681,-99.171531
"31",70,"PARQUE MEXICO-MICHOACAN","06100","1","Ampliación Granada","BIKE,TPV",71,76,71,76,19.411272,-99.169718
"32",88,"2A CDA 5 DE MAYO-PALMA",NA,"1","Ampliación Granada","BIKE",55,89,55,89,19.433815,-99.135303
"33",72,"MAZATLAN-ALFONSO REYES","06170","1","Ampliación Granada","BIKE",65,66,75,65,19.409893,-99.179544
"34",86,"SULLIVAN-INSURGENTES","06470","1","Ampliación Granada","BIKE,TPV",12,20,12,20,19.432378,-99.159077
"35",102,"ECHEVESTE-BOLIVAR",NA,"1","Ampliación Granada","BIKE",101,104,109,101,19.42821,-99.13949
"36",110,"DR. VALENZUELA-DR. RÍO DE LA LOZA",NA,"1","Ampliación Granada","BIKE",107,108,122,107,19.42513,-99.14339
"37",111,"GUILLERMO PRIETO-JOAQUÍN VELÁZQUEZ DE LEÓN",NA,"1","Ampliación Granada","BIKE",103,160,183,103,19.438371,-99.166474
"38",112,"AV. MORELOS-ABRAHAM GONZALEZ","06500","1","Ampliación Granada","BIKE",98,113,114,98,19.432819,-99.151734
"39",123,"CLAUDIO BERNARD-DR. LAVISTA","06500","1","Ampliación Granada","BIKE",124,125,133,124,19.424161,-99.153117
"40",150,"CAMPECHE-MEDELLÍN",NA,"1","Ampliación Granada","BIKE",146,151,152,146,19.409965,-99.164292
"41",154,"TUXPAN-TLAXCALA",NA,"1","Ampliación Granada","BIKE,TPV",152,153,157,152,19.406683,-99.167962
"42",171,"COMERCIO-JOSE MARTÍ",NA,"1","Ampliación Granada","BIKE",167,168,173,167,19.402584,-99.178199
"43",173,"MINERÍA-JOSÉ MARTÍ",NA,"1","Ampliación Granada","BIKE",168,169,171,168,19.401682,-99.176398
"44",174,"JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO",NA,"1","Ampliación Granada","BIKE,TPV",160,183,254,160,19.44111,-99.16164
"45",204,"TEMISTOCLES-HOMERO","11510","1","Ampliación Granada","BIKE",196,200,245,196,19.435882,-99.19152
"46",197,"MIGUEL DE CERVANTES-FC DE CUERNAVACA",NA,"1","Ampliación Granada","BIKE,TPV",197,197,197,197,19.440077,-99.204316
"47",227,"CAMPOS ELÍSEOS-PERIFÉRICO",NA,"1","Ampliación Granada","BIKE",213,219,220,213,19.431791,-99.207373
"48",181,"BENJAMIN FRANKLIN-SALTILLO",NA,"1","Ampliación Granada","BIKE",168,169,179,168,19.404976,-99.175095
"49",232,"TAINE-RUBEN DARÍO ",NA,"1","Ampliación Granada","BIKE",224,225,226,224,19.42894,-99.185389
"50",237,"ANDRÉS BELLO-ELLIOT ",NA,"1","Ampliación Granada","BIKE,TPV",193,234,238,193,19.426744,-99.193986
"51",238,"ANDRÉS BELLO-ELLIOT ",NA,"1","Ampliación Granada","BIKE",193,234,237,193,19.426765,-99.193752
"52",234,"TRES PICOS-ARQUÍMIDES ",NA,"1","Ampliación Granada","BIKE",192,193,231,192,19.42783,-99.191539
"53",243,"MIGUEL DE CERVANTES SAAVEDRA-LAGO FILT ","11510","1","Ampliación Granada","BIKE",199,242,244,199,19.440839,-99.196712
"54",248,"SHAKESPEARE-LAFAYETTE ","11510","1","Ampliación Granada","BIKE",246,247,249,246,19.43175,-99.177399
"55",250,"DARWIN-MARIANO ESCOBEDO ","11510","1","Ampliación Granada","BIKE,TPV",239,249,252,239,19.429057,-99.17966
"56",253,"DANTE-TOLSTOI ","11510","1","Ampliación Granada","BIKE,TPV",195,252,261,195,19.425835,-99.177924
"57",255,"JOSE ROSAS MORENO-GUILLERMO PRIETO ",NA,"1","Ampliación Granada","BIKE",160,183,257,160,19.437159,-99.161808
"58",259,"TÓMAS ALVA EDISON-PONCIANO ARRIAGA ",NA,"1","Ampliación Granada","BIKE",256,256,256,256,19.43757,-99.15468
"59",261,"PASEO DE LA REFORMA-RÍO RÓDANO ",NA,"1","Ampliación Granada","BIKE",195,252,253,195,19.423704,-99.175196
"60",264,"HÉROES FERROCARRILEROS-AV. CENTRAL",NA,"1","Ampliación Granada","BIKE",265,266,268,265,19.440985,-99.152935
"61",265,"HÉROES FERROCARRILEROS-JESÚS GARCIA",NA,"1","Ampliación Granada","BIKE,TPV",264,275,264,275,19.440839,-99.152265
"62",273,"LUIS DONALDO COLOSIO-AV. CENTRAL",NA,"1","Ampliación Granada","BIKE",176,268,274,176,19.442707,-99.152956
